author,date,rating,restaurant,review
['La Tanya J.'],['10/1/2020'],['5 star rating'],['Parkside Bar & Grill'],"['Went for my birthday all covid 19 precautions were taken. ', 'Friendly staff great calamari and cocktails']"
['Claire T.'],['8/25/2020'],['5 star rating'],['Parkside Bar & Grill'],"[""Had lunch here yesterday with my fiance. I'm very picky when it comes to American style food but this place just hit every nail on the head for me! The food was delicious. I ordered the shrimp scampi, bruschetta, and ponzu skirt steak. A couple of mid-day cocktails. Didn't have room for dessert, unfortunately. "", ""I love the location, the design, and the vibe of the setting. If we weren't in a pandemic, this place would be bursting with more people--even on a Monday afternoon, I just know it. "", 'Delicious food. Excellent service from out waiter. Friendly owner (Torrence). I wish this business success!']"
['Melissa B.'],['8/21/2020'],['5 star rating'],['Parkside Bar & Grill'],"[""My new favorite local hangout. I am almost embarrassed to say how often I go about 2-3 ish times a week. Love it there. The food, the drinks, the atmosphere. The staff!!! Love the staff. When I go it almost makes me forget I'm living in a pandemic. I sit outsources d have one of their signature cocktails and unwind. The food is good. I have tried most of the menu. My favorite is the scampi. Grilled shrimp in a delicious buttery sauce served with a sliced baguette. ( I wish they served it with more bread). The cocktails are tasty and strong. "", 'Go have yourself a good time. Get out. Forget about the pandemic for a while.']"
['Amy V.'],['10/9/2020'],['2 star rating'],['Parkside Bar & Grill'],"['I really wanted to like this place. I came here because it had decent reviews and the photos looked good. I will for sure have to come back to give it another shot but for now....', 'We both ordered mini sliders, with fries. ', 'I got mine as they are advertised and he had just the patty and added bacon. ', ""We get there and we have a two week old in the car that I'm feeding and he comes back to the car with the food. "", 'Open it up, no fries. However, both sets of sliders came with bacon. He goes back in to see what happened and I was starving so I started in and the sliders were cold. The aioli was so watery it soaked the bread. ', 'He comes back and said ""they said it doesn\'t come with fries you have to order them"" which irked me because he specifically asked if fries came with it or if we had to order it and they said it came with. ', 'They gave him one order of Fries which we split. ', 'Overall just a eh experience.']"
['Michael B.'],['9/27/2020'],['4 star rating'],['Parkside Bar & Grill'],"['Visited for the first time, Sunday breakfast/brunch at around 9:45 AM or so. Had the outside dining area all to ourselves for almost the whole meal.', 'Pros: ', '- Food was very good. My BLT had fresh produce and the bacon was delicious and cooked just right. Only 3 strips of bacon, but it was actually just enough as the sandwich itself was not too big, but certainly enough to fill me up along with a side of very tasty extra-crispy fries. The unexpected star was the gochujang aioli, which had a wonderful flavor that elevated the sandwich.', '- Wife enjoyed her omelet with bacon, caramelized onions and tomatoes. ', '- Service was good. Waitress was attentive and friendly.', 'Cons:', ""- Not the restaurant's fault, but the Todos Santos area is filled with homeless/bums, not the kind of view we want when dining out. Eating inside, when it is permitted again, would be my choice."", 'Verdict: ', '- We will definitely be back to try their lunch menu, maybe for takeout. The Thunderbird chicken sandwich looks delicious...!']"
['Kelley C.'],['10/11/2020'],['4 star rating'],['Parkside Bar & Grill'],"['This place is good! I had shrimp scampi which I ate before I took a picture, barbecue ribs, macaroni and cheese which was all good. ', 'I also had a Mojito which was pretty good.']"
"['Sharine d.', ""Elite '2020""]",['9/5/2020'],['3 star rating'],['Parkside Bar & Grill'],"['Had a nice replaced appetizer meal at the Parkside bar & grill. \xa0Nice outside tables. \xa0Plenty of neighborhood parking. Full house of supporters. \xa0Ordered beef sliders, Mac & cheese, \xa0calamari & ribs. \xa0The sliders were a bit under cooked for my preference, but tasty. The ribs were \xa0delicious. \xa0Also ordered margaritas...which rounded out a nice evening. \xa0', 'Also very attentive bus service & waiter also attentive had most tables by himself...they work well together. \xa0More like bar food to me, but nice evening.', '-thank you Sharine']"
['Chris R.'],['10/17/2020'],['5 star rating'],['Parkside Bar & Grill'],"['The Parkside Grill was very accommodating and so friendly while working everyone through their busy night... the food was delicious and they have a great kids menu as well. ', 'Thank you Parkside']"
['Celina D.'],['9/26/2020'],['5 star rating'],['Parkside Bar & Grill'],"['My girl friend and I wanted to get drinks on a Friday afternoon so we decided on Parkside Bar & Grill. It was super easy to reserve a table for 2 over the phone and we were seated right away. We had a lovely experience- the waitress was very attentive and the owner stopped by our table to check in. They even set up an umbrella right in front of the sun while my friend was waiting for me!', 'I had the Ponzu Skirt Steak and Classic Margarita. The sauce on the steak was so yummy! We also shared a basket of fries which were sooo good. Highly recommend as an appetizer. ', ""I'll definitely be back! Thank you to Parkside Bar & Grill for providing a great outdoor dining experience during these times."", 'Thank you Celina, the pleasure is ours! We are glad that you enjoyed it!']"
"['Gabby T.', ""Elite '2020""]",['7/27/2020'],['2 star rating'],['Parkside Bar & Grill'],"['**update**', ""I went again and the drinks again were amazing but we ordered the tacos and elote and it took over 20 minutes which was fine we weren't in a rush but I clearly told the server I have a severe avocado allergy and were assured they wouldn't be made with avocado. They came out with a green sauce which I thought was salsa verde and took one bite and had to spit it into my napkin and take my emergency medicine. Maybe a manager could run allergy food or it marked somehow and taken seriously. Sadly very disappointing."", ""Tried based off hearing good things and it did not disappoint! This has to be one of the best culinary finds in Concord! We didn't catch our servers name but he was amazing from start to finish on recommendations and over all service. We arrived at happy hour which is an awesome menu and started with a margarita, raspberry lemon drop and the bruschetta (not on happy hour). And it was amazing. Delicious drinks and the balsamic drizzle was to die for. We then ordered the Ruby Grapefruit Gimlet(server recommended) and it is AMAZING! We also had a wedge salad with chicken and the special which was a skirt steak with broccolini and shishido peppers and every bite was mouthwatering. If I ordered again I might order some carb as a side maybe some rice but so so good! Can't wait to go back to try the rest of the menu and that gimlet again!""]"
